"MBC_URL","IMDB_URL","Film","Year","Body_Count"
"http://www.moviebodycounts.com/Sweepers.htm","http://www.imdb.com/title/tt0120851/","Sweepers",1998,74
"http://www.moviebodycounts.com/Swordfish.htm","http://www.imdb.com/title/tt0244244/","Swordfish",2001,41
"http://www.moviebodycounts.com/Syriana.htm","http://www.imdb.com/title/tt0365737/","Syriana",2005,22
"http://www.moviebodycounts.com/Taken.htm","http://www.imdb.com/title/tt0936501/","Taken",2008,35
"http://www.moviebodycounts.com/Tango_&_Cash.htm","http://www.imdb.com/title/tt0098439/","Tango & Cash",1989,20
"http://www.moviebodycounts.com/Taxi_Driver.htm","http://www.imdb.com/title/tt0075314/","Taxi Driver",1976,4
"http://www.moviebodycounts.com/Team_America.htm","http://www.imdb.com/title/tt0372588/","Team America",2004,79
"http://www.moviebodycounts.com/Terminator.htm","http://www.imdb.com/title/tt0088247/","Terminator",1984,34
"http://www.moviebodycounts.com/Terminator2.htm","http://www.imdb.com/title/tt0103064/","Terminator 2: Judgment Day",1991,25
"http://www.moviebodycounts.com/Terminator3.htm","http://www.imdb.com/title/tt0181852/","Terminator 3",2003,14
"http://www.moviebodycounts.com/There_Will_Be_Blood.htm","http://www.imdb.com/title/tt0469494/","There Will Be Blood",2007,4
"http://www.moviebodycounts.com/The_Thing.htm","http://www.imdb.com/title/tt0084787/","The Thing",1982,21
"http://www.moviebodycounts.com/Things_to_Do_in_Denver.htm","http://www.imdb.com/title/tt0114660/","Things to Do in Denver When You're Dead",1995,15
"http://www.moviebodycounts.com/Third_Man.htm","http://www.imdb.com/title/tt0041959/","The Third Man",1949,4
"http://www.moviebodycounts.com/Thunderball.htm","http://www.imdb.com/title/tt0059800/","Thunderball",1965,47
"http://www.moviebodycounts.com/Timeline.htm","http://www.imdb.com/title/tt0300556/","Timeline",2003,65
"http://www.moviebodycounts.com/Titanic.htm","http://www.imdb.com/title/tt0120338/","Titanic",1997,307
"http://www.moviebodycounts.com/To_Die_For.htm","http://us.imdb.com/title/tt0114681/","To Die For",1995,2
"http://www.moviebodycounts.com/Tombstone.htm","http://www.imdb.com/title/tt0108358/","Tombstone",1993,55
"http://www.moviebodycounts.com/Total_Recall.htm","http://www.imdb.com/title/tt0100802/","Total Recall",1990,77
"http://www.moviebodycounts.com/Transformers_the_Movie.htm","http://www.imdb.com/title/tt0092106/","Transformers: The Movie",1986,47
"http://www.moviebodycounts.com/Transporter.htm","http://www.imdb.com/title/tt0293662/","The Transporter",2002,8
"http://www.moviebodycounts.com/Transporter2.htm","http://www.imdb.com/title/tt0388482/","Transporter 2",2005,11
"http://www.moviebodycounts.com/Troy.htm","http://www.imdb.com/title/tt0332452/","Troy",2004,572
"http://www.moviebodycounts.com/True_Lies.htm","http://www.imdb.com/title/tt0111503/","True Lies",1994,71
"http://www.moviebodycounts.com/True_Romance.htm","http://imdb.com/title/tt0108399/","True Romance",1993,21
"http://www.moviebodycounts.com/Unbreakable.htm","http://www.imdb.com/title/tt217869/","Unbreakable",2000,4
"http://www.moviebodycounts.com/Under_Siege.htm","http://www.imdb.com/title/tt0105690/","Under Siege",1992,65
"http://www.moviebodycounts.com/Under_Siege2.htm","http://www.imdb.com/title/tt0114781/","Under Siege 2",1995,47
"http://www.moviebodycounts.com/Underworld.htm","http://www.imdb.com/title/tt0320691/","Underworld",2003,58
"http://www.moviebodycounts.com/Underworld_Evolution.htm","http://www.imdb.com/title/tt0401855/","Underworld: Evolution",2006,75
